练习习题三,正确答案,答题解析
生产力的巨大发展，既促进了新兴资本主义制度的确立和巩固，也使这种制度开始显示出它所固有的深刻的内在矛盾。（   ）,对,
理论与实践的统一，是马克思主义的一个最基本的原则。（   ）,对,
马克思的伟大发现除了剩余价值学说外，另一个是阶级斗争理论。（   ）,对,
马克思主义绝不是离开世界文明大道而凭空创造的故步自封、僵化不变的学说，而是在综合人类思想积极成果和总结当代的实践经验的基础上形成的。（   ）,对,
中国特色社会主义是当代中国发展进步的根本方向，是全国各族人民的共同理想。（   ）,对,
马克思主义，是无产阶级根本利益的科学表现，具有鲜明的阶级性和实践性。（   ）,对,
哲学把无产阶级当做自己的物质武器，同样，无产阶级也把哲学当做自己的精神武器。（   ）,对,
共产主义不是脱离实际的学说，而是用实际手段来追求实际目的的最实际的运动。（   ）,错,
马克思主义是不断发展的科学理论体系。（   ）,错,
“历史活动是群众的活动”，决定历史前进方向的是“行动着的群众”。（   ）,对,
法国、英国、德国工人运动的兴起，标志着现代无产阶级作为独立的政治力量登上了历史舞台。（   ）,对,
学习和掌握马克思主义基本原理，掌握马克思主义的基本立场、观点和方法，是大学生个人成长和长远发展的客观需要。（   ）,对,
马克思主义之所以能够历久不衰，永葆青春和活力，其根本原因就在于它具有彻底的科学性。,对,
马克思主义最崇高的社会理想是与时俱进。（   ）,对,
实践基础上的制度创新是社会发展和变革的先导。（   ）,对,
与时俱进就是马克思主义根据实践的变化，尊重和遵循客观规律，不断超越前人和自己的认识过程。,错,
马克思、恩格斯发展了英国古典经济学理论中的劳动价值论。（   ）,对,
要扣好人生的第一颗扣子，就是要求我们解决好理想信念问题。,对,
马克思主义基本原理，是马克思主义理论体系中最基本、最核心的内容，是对马克思主义的立场、观点和方法的集中概括。,错,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
任何观念都可以从现实世界中找到其本质“原型”。（     ）,对,
人与自然的关系本质上是对立的。（     ）,错,
人能改变客观规律。（     ）,错,
社会生活未来发展的多种可能性是主体选择的客观前提，主体的利益和需要是选择的内在根据。（     ）,对,
人们不能随意创造和消灭规律。（     ）,对,
质变会引起新的量变。（     ）,对,
重视理论创新，必须坚决反对对待马克思主义的教条主义态度。（    ）,对,
世界上只有想不到的事情，没有做不到的事情。（    ）,错,
理论的作用只有掌握群众、最终通过群众的实践才能实现。（    ）,对,
实践是人所特有的对象性活动。（    ）,对,
人们对实现价值的追求，构成了实践的动因，但价值的实现必须以对相关真理的正确把握为前提才能成功。（    ）,对,
实践出真知，一个人要获得任何科学知识，都必须经过自己的实践。（    ）,错,
在对同一个事物的认识中，往往存在“仁者见仁，智者见智”的现象。这表明，认识结果是由认识主体决定的。（    ）,错,
理性认识就是感性认识的不断积累。（    ）,错,
真理与谬误的界限是相对的，真理包含谬误。（    ）,错,
思想根本不能实现什么东西，为了实现思想，就要有使用实践力量的人。（    ）,对,
任何认识都对实践具有能动的反作用。（    ）,对,
实践标准的不确定性是由于不同的人、不同的阶级各有不同的实践标准。（    ）,错,
“仁者见仁，智者见智”，是对客观真理的否定。（    ）,错,
旧唯物主义反映论的缺陷之一是不了解认识的辩证发展性质。（    ）,对,
创新是一个民族进步的灵魂，是一个国家兴旺发达的不竭动力，也是一个政党永葆生机的源泉。（    ）,对,
在当代中国，树立正确的价值观，必须努力建设社会主义核心价值体系，积极培育和践行社会主义核心价值观。（    ）,对,
只有直接经验才是重要的，间接经验没什么用处。（    ）,错,
绝对真理和相对真理是两类不同的真理。（    ）,错,
主体和客体就是主观和客观。（    ）,错,
人的思维是至上的，又是非至上的。（    ）,对,
真理具有客观性，凡真理都是客观真理。（    ）,对,
凡是亲眼所见的都是对客观事实的真实反映。（    ）,错,
实践标准既是确定的，又是不确定的。（    ）,对,
真理必有用，有用即真理。（    ）,错,
真理是客观的，客观事物就是真理。（    ）,错,
由于人的认识能力有限，所以世界是不能被人所认识或不能被完全认识。（    ）,错,
自然规律和社会规律都是通过人的社会实践活动起作用的。（    ）,错,
人具有主观能动性，但是人类在改造世界的时候还应该遵循规律的客观性。（    ）,对,
马克思主义是客观真理，又是绝对真理和相对真理的统一。（    ）,对,
凡是亲眼所见，亲耳所听都是直接经验，是对客观事物的本质的真实反映。（    ）,错,
认识是一个不断反复和无限发展的过程。（    ）,对,
人对世界的认识就像镜子映照他物。（    ）,错,
真理与谬误之间存在一条不可逾越的鸿沟。（    ）,错,
物质生产实践是最基本的实践活动。（    ）,对,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
人类社会的全部历史，都是阶级斗争的历史。（     ）,错,
经济基础是社会发展的最终决定力量。（     ）,错,
唯心史观主要缺陷在于不懂得意识的能动性。（     ）,错,
劳动价值论是说工人的体力劳动创造了商品的价值，管理者的脑力劳动不直接生产产品，是不创造价值的。,错,
劳动力商品在使用价值上有一个很大的特点，就是它的使用价值是价值的源泉。（     ）,对,
人类社会的历史就是客观规律与主体自觉活动的统一过程。（     ）,对,
社会意识以理论、观念、心理等形式反映社会存在。这是社会意识对社会存在的依赖性。（     ）,对,
自然规律没有阶级性，社会规律在阶级社会具有阶级性。（     ）,错,
“商品是天生的平等派”，相同的商品只能卖相同的价钱。（     ）,错,
价值是凝结在商品中的一般人类劳动，所以，劳动产品都具有价值。（     ）,错,
社会进步是不可抗拒的历史潮流，因此，社会发展是直线上升的。（     ）,错,
资本主义基本矛盾是生产资料资本主义私人占有和生产社会化之间的矛盾。（     ）,对,
时势造英雄。（     ）,对,
在私有制条件下生产商品的劳动不能既是私人劳动，又是社会劳动。（     ）,错,
日本人用船把雨水卖到中东缺水的地方，这时的雨水就是商品。,对,
价格是价值的货币表现，价格的变化就是价值变化的表现。（     ）,错,
供求关系只能影响价格，决定价格的只能是价值。,对,
在金属货币流通条件下，不会发生通货膨胀或通货紧缩现象。（     ）,对,
价格是价值的表现形式，有价格的必有价值。（     ）,错,
市场上商品供不应求，价格上涨；供大于求，价格下降。所以价格是由供求关系决定的。（     ）,错,
劳动范畴是历史唯物主义理论体系的逻辑起点。（     ）,对,
两件劳动产品之所以要交换就是因为它们都有价值。,错,
金银天然不是货币，但货币天然是金银。（     ）,对,
商品的价值量是由生产该商品的劳动时间决定的。而不是由供求关系决定的。（     ）,错,
商品的价值有两个源泉，即生产资料和劳动力的价值。（     ）,错,
价格对价值的偏离，是对价值规律的否定。（     ）,错,
各种商品的价值所以能相互比较，是因为货币执行价值尺度的职能。（     ）,错,
尽管劳动生产率与单位商品的价值量成反比，但是，无论劳动生产率发生怎样的变化，同一社会必要劳动时间内创造的价值总量是不变的。（     ）,对,
资本家提高劳动生产率是为了获得绝对剩余价值。（     ）,错,
剩余价值是由资本家的全部预付资本创造的。（     ）,错,
土地有价格，土地就是商品。,错,
劳动力的使用价值是其价值的源泉，并且能创造出比它自身价值更大的价值。（     ）,对,
仓库中积压的产品一旦卖不出去，就不是商品。,错,
利用价值规律的作用，就能自动地实现资源的最优配置。（     ）,错,
与奴隶制、封建制相比，资本主义国家作为资产阶级利益和要求的体现是人类社会政治生活的一大进步。（     ）,对,
提高劳动生产率可以增加单位时间里的使用价值和价值量。（     ）,错,
资本不是一种物，而是一种以物为媒介的人和人之间的社会关系。（     ）,对,
剩余价值的产生，既不在流通领域，又离不开流通领域。（     ）,对,
由于劳动生产率与单位商品价值量成反比，那么，一个企业只要提高劳动生产率就可以降低商品的价值。（     ）,错,
资本的价值构成决定资本的技术构成。（     ）,错,
资本主义自由竞争引起生产和资本集中，生产和资本集中发展到一定程度必然产生垄断。（     ）,对,
在知识经济时代，价值的增长不是通过劳动，而是通过知识。（     ）,错,
劳动力的买和卖的价格时高时低并不违背价值规律。（     ）,对,
资本主义意识形态是为资本主义经济基础服务的。（     ）,对,
资本主义国家的职能是以服务于资本主义制度和全体人民的根本利益为内容的。（     ）,错,
资本家发给工人的工资是工人的“全部劳动所得”。 （     ）,错,
劳动创造价值，付出劳动的产品必有其价值。（     ）,错,
在资本主义条件下，劳动成为商品，为了雇佣工人劳动，资本家付给工人劳动报酬，劳资双方平等协商，实行等价交换，是天经地义的。（     ）,错,
资产阶级的思想文化成果是人类文明进步的成就和体现。（     ）,对,
商品的生产必具备生产资料和劳动者两大要素，商品的生产就是两者的有机结合，所以包含在商品中的价值必然有两个来源：自然物质和人类劳动。（     ）,错,
资本主义政治制度的本质是为资产阶级专政服务的。（     ）,对,
既然商品的价值量与生产商品的劳动生产率成反比，个别企业就无需提高劳动生产率。（     ）,错,
任何社会劳动者的劳动能力都是可买可卖商品。,错,
科学技术革命是推动经济和社会发展的强大杠杆。（     ）,对,
地理环境越来越成为社会发展的决定性力量。（     ）,错,
“革命是历史的火车头”。 （     ）,对,
阶级斗争是社会发展的直接动力。（     ）,错,
人类社会的全部历史，都是阶级斗争的历史。（     ）,错,
上层建筑对经济基础的反作用，可能是积极的、进步的，也可能是消极的、衰退的。（     ）,对,
天不生仲尼，万古长如夜。（     ）,错,
唯心史观主要缺陷在于不懂得意识的能动性。（     ）,错,
社会意识都属于思想上层建筑。（     ）,错,
一切历史都是思想史。（     ）,错,
由于历史唯物主义强调生产方式在人类历史变迁和社会发展中的最终决定作用，因此，它是一种经济决定论。（     ）,错,
国家本质上是社会公共事务管理机构。（     ）,错,
社会意识以理论、观念、心理等形式反映社会存在。这是社会意识对社会存在的依赖性。（     ）,对,
生产力与生产关系之间存在着自始至终的矛盾运动。（     ）,对,
“全球问题”只能通过发展科学技术来解决。（     ）,错,
社会形态发展的统一性与多样性，根源于社会发展的客观必然性与人们的历史选择性相统一的过程。（     ）,对,
在社会发展过程中，人民群众是历史的“剧中人”，英雄人物是历史的“剧作者”。 （     ）,错,
自然规律没有阶级性，社会规律在阶级社会具有阶级性。（     ）,错,
社会进步是不可抗拒的历史潮流，因此，社会发展是直线上升的。（     ）,错,
经济基础即社会中各种生产关系的总和。（     ）,错,
社会存在决定社会意识，但是同一时代条件下人们的思想、观念却丰富多彩、差异很大甚至相互对立的。（     ）,对,
"只有当社会物质生活发展已在社会面前提出新的任务时,新的社会思想和理论,才会产生出来。（     ）",对,
选举制度和政党制度都属于资本主义政治制度中的内容。,对,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
资本不是一种物，而是一种以物为媒介的人和人之间的社会关系。（     ）,对,
资本主义国家的职能是以服务于资本主义制度和全体人民的根本利益为内容的。（     ）,错,
劳动力的买和卖的价格时高时低并不违背价值规律。（     ）,对,
商品的价值有两个源泉，即生产资料和劳动力的价值。（     ）,错,
在金属货币流通条件下，不会发生通货膨胀或通货紧缩现象。（     ）,对,
资本家提高劳动生产率是为了获得绝对剩余价值。（     ）,错,
资本主义自由竞争引起生产和资本集中，生产和资本集中发展到一定程度必然产生垄断。（     ）,对,
在资本主义条件下，劳动成为商品，为了雇佣工人劳动，资本家付给工人劳动报酬，劳资双方平等协商，实行等价交换，是天经地义的。（     ）,错,
商品的生产必具备生产资料和劳动者两大要素，商品的生产就是两者的有机结合，所以包含在商品中的价值必然有两个来源：自然物质和人类劳动。（     ）,错,
与奴隶制、封建制相比，资本主义国家作为资产阶级利益和要求的体现是人类社会政治生活的一大进步。（     ）,对,
资本主义政治制度的本质是为资产阶级专政服务的。（     ）,对,
价格是价值的货币表现，价格的变化就是价值变化的表现。（     ）,错,
资本的价值构成决定资本的技术构成。（     ）,错,
利用价值规律的作用，就能自动地实现资源的最优配置。（     ）,错,
资本主义国家的职能的两个基本方面是对内立法司法职能和对外侵略职能。,错,
资产阶级的思想文化成果是人类文明进步的成就和体现。（     ）,对,
劳动创造价值，付出劳动的产品必有其价值。（     ）,错,
既然商品的价值量与生产商品的劳动生产率成反比，个别企业就无需提高劳动生产率。（     ）,错,
资本家发给工人的工资是工人的“全部劳动所得”。 （     ）,错,
社会主义取代资本主义是一个长期的历史过程。（    ）,对,
在资本主义社会，尽管劳动者获得了人身自由，但是资本家和雇佣工人的平等关系只是在流通领域形式上的等价交换。（    ）,对,
第二次世界大战后西方国家推行的“社会福利政策”和“资本民主化”，表明人人都是有产者，人人都是企业的主人。（    ）,错,
垄断价格=成本价格+平均利润+垄断利润。（    ）,对,
有人认为，经济全球化是生产和资本国际化的产物，具有促进生产力发展和全球经济发展的巨大作用，因而对发展中国家的经济发展也是有百利无一害。（     ）,错,
垄断资本主义占统治地位的是金融资本。（    ）,对,
经济全球化将使发展中国家更加依赖于发达国家，从而使强者更强，弱者更弱。（    ）,错,
垄断价格的出现否定了价值规律的作用。（    ）,错,
垄断是在自由竞争基础上产生的，因此垄断统治形成后可以消除竞争。（    ）,错,
当代资本主义国家生产资本输出是为了帮助落后国家发展经济。（    ）,错,
发达资本主义国家资本进一步社会化，股份公司普遍建立，股权极大分散，私人资本转化为社会资本，这意味着资本主义私有制会发生本质变化。（    ）,错,
法人资本所有制使资本占有社会化程度大大提高，从而消除了资本家与工人的对立。（    ）,错,
资本主义的发展经历了自由竞争资本主义和垄断资本主义两个阶段。（    ）,对,
一些国家从社会主义经济制度改变为资本主义经济制度，说明社会主义取代资本主义已不是人类社会的必然规律了。（    ）,错,
垄断是市场经济的必然产物。（    ）,错,
经济全球化是不可逆转的客观历史进程。（    ）,对,
资本主义国家有了经济计划就能从根本上克服生产无政府状态。（    ）,错,
国家垄断资本主义是社会主义的最完备的物质准备，是社会主义的入口。（    ）,对,
资产阶级国家掌握和运用国有资本，是为了直接获取高额垄断利润。（    ）,错,
国家垄断资本主义对资本主义的经济发展产生了积极的作用 。（    ）,对,
社会主义在曲折中发展是因为经济文化相对落后，生产力发展水平低。（    ）,错,
社会主义实现模式多样化的原因在于指导思想不同。（    ）,错,
马克思主义经典作家与其他思想家预见未来社会的方法区别在于前者是客观主义的态度，后者是主观主义的态度。（    ）,错,
21世纪人的全面发展是指人的各种要求都能得到满足。（    ）,错,
社会主义首先在经济文化相对落后的国家取得胜利的原因是经济文化相对落后的国家实行无产阶级专政。（    ）,错,
无产阶级夺取政权的根本目的是解放和促进生产力的发展。（    ）,对,
作为社会历史范畴，自由王国的内涵是指人们不受任何制约的自由状态。（    ）,错,
空想社会主义的不成熟的理论，是同当时不成熟的资本主义生产状况、不成熟的阶级状况相适应的。（    ）,对,
共产主义实现的历史必然性是指共产主义必然战胜社会主义。（    ）,错,
马克思和恩格斯创立的唯物史观和剩余价值学说，为实现社会主义从空想到科学的飞跃，奠定了坚实的理论基础。（    ）,对,
必然王国和自由王国是社会发展的两种不同状态。（    ）,对,
社会主义在曲折中探索前进，社会主义在若干国家的严重挫折中改变了资产阶级必然灭亡的命运。（    ）,错,
在马克思主义科学体系中居于核心地位的是马克思主义哲学。（    ）,错,
社会主义建设的模式主要是民主社会主义模式。（    ）,错,
先进性是马克思主义政党的本质属性，是马克思主义政党的生命所系、力量所在。（    ）,对,
空想社会主义发展依次经历了空想社会主义、空想平均社会主义、批判的空想社会主义三个历史时期，都是科学社会主义的直接思想来源。（    ）,错,
共产主义一定能够实现，其决定因素是共产主义的优越性。（    ）,错,
经济文化相对落后的国家率先进入社会主义，也是历史发展规律作用的结果。（    ）,对,
资本主义社会是自由王国状态。（    ）,错,
早期空想社会主义代表人物托马斯·莫尔的代表作是《太阳城》。（    ）,错,
社会主义各个阶段的划分最终应以生产力的发展为标准。（    ）,对,
马克思主义政党是团结统一的政党，是出卖劳动力被剥削的无产阶级政党。（    ）,错,
马克思主义政党的领导是实现工人阶级历史使命的根本保证。（    ）,对,
在共产主义社会，个人消费品的方式是各尽所能，按需分配。（    ）,对,
马克思、恩格斯对于社会主义革命的战略思考，仅仅限于当时比较发达的资本主义国家，并没有顾及包括俄国和中国在内的东方相对落后的国家。（    ）,错,
共产党人可以把自己的理论概括为一句话：消灭私有制。（    ）,对,
中国梦是当代中国各族人民的共同理想，也是青年一代应该牢固树立的远大理想。（    ）,对,
马克思、恩格斯科学地预见到在进入共产主义之前必然要经历社会主义社会。（    ）,错,
一部人类历史，也就是人类从必然王国走向自由王国的过程。（    ）,对,
共产主义社会既是人类历史的终结，也是人类自由自觉历史的开端。（    ）,错,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
