text,A,B,C,D,ans,答题解析,判分规则
下列选项中属于唯心主义观点的有(            ),宇宙便是吾心，吾心即是宇宙,心外无物，心外无理,未有天地之先，毕竟是先有理,存在就是被感知,ABCD,,全对得分
有哲学家说：“我们今天生活着的世界，与其说是自然世界，还不如说是人造或人为的世界。在我们的周围，几乎每样东西都刻有人的技能的痕迹。”这段话应理解为(            ),人造的或人为的世界是唯一存在的世界,现实世界是人类精神的创造物,人类世界是人的实践活动对象化的结果,科学技术越来越成为人类改造世界的伟大力量,CD,,全对得分
下列判断属于主观唯心主义的有(            ),人为自然界立法,存在就是被感知,物是感觉的复合,宇宙便是吾心,ABCD,,全对得分
思维和存在的关系问题是哲学基本问题，其内容有思维和存在(            ),谁是第一性谁是第二性的问题,谁是本质谁是现象的问题,谁是必然的谁是偶然的问题,有无同一性的问题,AD,,全对得分
马克思主义哲学在内容上实现的革命性变革，它把(            )统一起来,唯物主义和辩证法,自然知识和社会,感性认识和理性知识,唯物辩证的自然观和唯物辩证的历史观,AD,,全对得分
“沉舟侧畔千帆过，病树前头万木春。”辩证法认为发展的实质是新事物的产生和旧事物的灭亡。新生事物必然取代旧事物，从根本上说，是因为 (            ),新生事物产生于旧事物之后，是新出现的事物,新生事物具有新的结构和功能，能适应已经变化了的环境和条件,新生事物是对旧事物的扬弃，并添加了旧事物所不能容纳的新内容,在社会历史领域内，新生事物符合广大人民群众的根本利益和要求,BCD,,全对得分
中国古代的哲学家公孙龙提出了“白马非马”的命题，其错误是割裂了事物的(            ),一般和个别的关系,共性和个性的关系,整体和部分的关系,普遍和特殊的关系,ABD,,全对得分
西周末年思想家史伯说“和实生物，同则不继，以它平它谓之和，故能丰长而物归之”。这里所包含的辩证法思想有(            ),矛盾的同一是包含差别的同一,对立面的同一是事物发展的动力,不包含内部差别的事物就不能存在和发展,矛盾的一方只有克服另一方才能达到统一,ABC,,全对得分
下列选项中，属于哲学基本问题内容的有(            ),物质和意识何者为第一性的问题,物质世界是否运动发展变化的问题,世界的变化发展是否有规律性的问题,世界能否被人的思维认识的问题,AD,,全对得分
发展的实质是新事物的产生和旧事物的灭亡。新生事物必然取代旧事物，从根本上说，是因为(            ),新生事物产生于旧事物之后，是新出现的事物,新生事物具有新的结构和功能，能适应已经变化了的环境和条件,新生事物是对旧事物的扬弃，并添加了旧事物所不能容纳的新内容,在社会历史领域内，新生事物符合广大人民群众的根本利益和要求,BCD,,全对得分
矛盾分析方法有(            ),“物生有两，相反相成”,“一分为二，合二为一”,“和而不同，执两用中”,“和实生物，同则不继”,ABCD,,全对得分
矛盾同一性在事物发展中的作用表现为(            ),矛盾双方在相互依存中得到发展,矛盾双方相互吸取有利于自身发展的因素,调和矛盾双方的对立,规定事物发展的基本趋势,ABD,,全对得分
唯物辩证法和形而上学的对立表现在是否承认(            ),世界上的事物是普遍联系的,世界是物质的,世界上的事物是永恒发展的,世界是可以认识的,AC,,全对得分
IBM公司制造的“深蓝”计算机战胜了世界顶级国际象棋大师卡斯帕罗夫。这表明(            ),电脑具有比人脑更高级的运动形式,电脑是人脑的延伸，是人类扩展自己智力的工具,人脑的运动与电脑一样，归根到底是电子等物质粒子的运动,电脑是物化了的人的意识，电脑战胜人脑，实质上是人类自己战胜自己,BD,,全对得分
1820年，丹麦物理学家奥斯特在做实验时，突然发现电流的变化引起磁针的偏转。他抓住这一现象深入研究，揭示了电流的磁效应规律，为后来发明电动机奠定了理论基础。这一事例说明(            ),必然性是通过偶然性表现出来的,偶然性背后隐藏着必然性,人们的认识是透过现象抓住本质的过程,人们的认识是从感性认识上升到理性认识的过程,ABCD,,全对得分
“本质决定现象，现象是本质的。”这句话的含义是(            ),现象就是本质,本质是现象的根据,本质通过现象表现出来,本质和现象是不可分离的,BCD,,全对得分
“勿以恶小而为之，勿以善小而不为”。这句话体现的哲学道理有(            ),事物的变化是从量变开始的,量变积累到一定程度就会引起质变,量变和质变是相互渗透的,量变和质变没有明显的区别,ABC,,全对得分
恩格斯说：“当我们深思熟虑地考察自然界或人类历史或我们自己的精神活动的时候，首先呈现在我们眼前的，是一幅由种种联系和相互作用无穷无尽地交织起来的画面。”这段话所包含的辩证法观点有(            ),联系是客观世界的本性,一切事物都处于相互联系之中,世界是一个相互联系的统一整体,联系既是普遍的又是复杂多样的,ABCD,,全对得分
下列现象属于量变引起质变的有(            ),生产力的增长引起生产关系的变革,在一定温度下鸡蛋孵出小鸡,由变异积累引起旧物种到新物种的变化,同样的元素由于结构差异形成不同的事物,BCD,,全对得分
海的“贯通东流”水系的形成年代。如果说上游的沉积物从青藏高原、四川盆地顺延而下能到达下游，这就表明长江贯通了，这就是物源示踪。我国科学家采用这一方法，研究长江中下游盆地沉积物的来源，从而判别长江上游的物质何时到达下游，间接指示了长江贯通东流的时限。他们经过10多年的研究，提出长江贯通东流的时间距今约2300多万年。这一研究成果从一个侧面显示出(            ),时间和空间是有限的，物质运动是永恒的,时间和空间的通过物质运动的变化表现出来的,时间和空间是指标示物质运动的观念形式,时间和空间是物质运动的存在形式,ABD,,全对得分
下列命题中，反映事物之间客观联系的有(            ),森林覆盖面的减少引起气候的恶化,汽车尾气排量的增加引起大气环境污染,天空出现彗星预示社会将要爆发战争,汽车数量的急剧增加造成交通拥堵,ABD,,全对得分
下列选项中，否认世界统一于物质的观点有(            ),物是感觉的复合,存在就是被感知,世界是绝对精神的产物,世界有物质和精神两个本原,ABCD,,全对得分
人的意识的主观性方面表现为(            ),反映形式的主观性,不同主体的意识之间的差别性,对客观对象反映的近似性,对客观事物反映的超前性,ABCD,,全对得分
现代科学思维方法是一个巨大的方法群，它包括(            )等。,系统方法,结构—功能方法,归纳法,模型化方法,ABD,,全对得分
下列选项属于马克思主义哲学与旧唯物主义区别的有(            ),是否承认实践是认识的基础,是否承认认识是一个辩证发展过程,是否强调意识有能动作用,是否主张思维和存在具有同一性,ABC,,全对得分
下列各项属于意识能动性具体表现的有(            ),意识活动具有目的性和计划性,意识活动能反映事物的本质和规律,意识活动对人体生理活动有调节和影响作用,意识活动具有通过实践改变世界的作用,ABCD,,全对得分
对立统一规律是唯物辩证法的实质与核心，因为(            ),它揭示了事物普遍联系的根本内容,它是贯穿于唯物辩证法的其他规律和范畴的中心线索,它揭示了事物发展变化的根本动力,矛盾分析方法是最根本的认识方法,ABCD,,全对得分
下列选项中，体现重视矛盾特殊性的有(            ),因材施教，因人而异,对症下药，量体裁衣,注意分寸，掌握火候,因地制宜，因时制宜,ABD,,全对得分
下列各项属于唯物主义基本形态的有(            ),自然科学的唯物主义,古代的朴素唯物主义,近代的形而上学唯物主义,现代的辩证唯物主义和历史唯物主义,BCD,,全对得分
唯物主义的发展经历了以下历史形态(            ),辩证唯物主义和历史唯物主义,古代朴素唯物主义,近代庸俗唯物主义,近代形而上学唯物主义,ABD,,全对得分
19世纪一位作家说：“一个除了书本以外一无所知的纯粹学者，必然对书本也是无知的。”与这句话在内涵上相一致的名言还有(   ),尽信书，则不如无书,纸上得来终觉浅，绝知此事要躬行,饱经风霜的老人与缺乏阅历的少年对同一句格言的理解是不同的,感觉到的东西我们不能立刻理解它，只有理解了的东西才能更深刻地感觉它,ABC,,全对得分
“真理原来是人造的，是人造出来供人用的，是因为对人大有用处，所以才给以‘真理’的美名”。这段话的观点说明(   ),有用的就是真理,符合客观规律的是真理,经过实践检验的就是真理,能为我主观需要服务的是真理,AD,,全对得分
苏轼在《石钟山记》中就士大夫和渔工水师没有正确认识“钟声”产生的原因指出：“士大夫终不肯以小舟停泊绝壁之下，故莫能知；而渔工水师虽知而不能言。”蕴涵的哲学道理包括(   ),实践是认识的来源,实践是认识发展的动力,认识受到各种条件的限制,认识正确与否只能通过实践来检验,AC,,全对得分
一个科学合理的价值评价必须符合（       ）,对客体状况的正确认识,对社会关系的正确认识,对主体需要的正确认识,对实践关系的正确认识,AC,,全对得分
价值的客观性表现在（       ）,价值必须以客观事物本身所具有的属性为现实基础,人的需要不是主观随意的，而是受社会实践和历史条件制约的,价值必须以人的需要为前提,价值是物质关系,AB,,全对得分
下列对待马克思主义的态度符合绝对真理和相对真理辩证关系的是（       ）,马克思主义句句是真理，应该坚持永远句句照办,马克思主义具有与时俱进的理论品格,马克思主义是科学真理，应随着实践的发展而发展,马克思主义是19世纪的产物，在20世纪已经不适用了,BC,,全对得分
下列属于人类基本的实践活动的是(   ),建设京沪高速铁路,欣赏普契尼歌剧,打扫人民大学礼堂,发射天宫一号飞船,ACD,,全对得分
“动物只是按照它所属的那个种的尺度和需要来建造，而人却懂得按照任何一个种的尺度来进行生产，并且懂得怎样处处都把内在的尺度运用到对象上去；因此，人也按照美的规律来建造。”下列选项对这段话的理解正确的是（       ）,“内在尺度”即真理尺度,“内在尺度”即价值尺度,“内在尺度”是制约实践的主体尺度,人的实践活动是真理尺度和价值尺度的统一,BCD,,全对得分
马克思主义认识论认为，认识的辩证过程是（       ）,从间接经验回到直接经验的转化,实践——认识——实践的无限循环,从抽象到具体再到抽象的上升过程,从感性认识到理性认识，再从理性认识到实践,BD,,全对得分
马克思说，人“赋予物以有用的性质，好像这种有用性是物本身所固有的，虽然羊未必想得到，它的‘有用’性之一，是可作人的食物”，这说明（       ）,在价值关系中不是人趋近物，而是物趋近人,现实的价值是否形成以某物的属性为标准,主体的需要及需要的程度是某物是否具有价值及其价值大小的内在尺度,具有客观需要的现实的主体是价值关系的中心,ACD,,全对得分
“没有革命的理论，就没有革命的运动”，它（       ）,肯定了理论应走在实践的前面,把理论当成实践的来源和动力,揭示了理论对实践的指导作用,规定了理论对实践的决定意义,AC,,全对得分
马克思主义哲学把实践观引入认识论，彻底划清了（       ）,唯物论与辩证法的界限,辩证反映论与形而上学反映论的界限,唯物主义反映论与唯心主义先验论的界限,能动革命的反映论与直观被动的反映论的界限,BCD,,全对得分
柏拉图认为：“如果是我们在出世前获得了知识，出世时把它丢了，后来又通过使用各种感觉官能得到了原来具有的知识，那么，我们称为学习的这个过程，实际上不就是恢复我们固有的知识吗？我们把它称为回忆对不对呢？完全对。”这一观点（       ）,正确揭示了认识的来源,是朴素的唯物主义认识论,是一种唯心主义,在认识论上属于先验论,CD,,全对得分
列宁指出：“从生动的直观到抽象的思维，并从抽象的思维到实践，这就是认识真理、认识客观实在的辩证途径。”认识运动的辩证发展过程包括的两次飞跃是（       ）,从感性认识到理性认识的飞跃,从理性认识到感性认识的飞跃,从实践到理性认识的飞跃,从理性认识到实践的飞跃,AD,,全对得分
牛顿说：“假若我能比别人瞭望得略为远些，那是因为我站在巨人们的肩膀上。”这句话（       ）,强调了学习间接经验的重要性,否定了实践是认识的来源,否定了直接经验的重要性,强调了获取间接经验是发展人类认识的必要途径,AD,,全对得分
实践标准的绝对性或确定性是指（       ）,实践能够检验一切认识,实践是检验真理的唯一标准,实践检验真理不是一次完成的,凡经过实践证明了的一切认识都是客观真理,ABD,,全对得分
德国物理学家、生理学家兼心理学家赫尔姆霍茨认为，蚂蚁能看见紫外线而人却看不见，可见人的感官的局限性构成了人的认识能力的局限。对他的观点分析正确的是（       ）,他没有看到人的感官的局限性是可以突破的,他没有到人的认识能力具有无限性的一面,他没有看到主体在认识过程中的能动作用,具有不可知论的倾向,ABCD,,全对得分
马克思主义哲学认为真理和价值的关系是（       ）,追求价值以追求真理为基础,追求真理以追求价值为目标,两者在社会实践中具体的历史的统一,真理和价值都要通过实践检验,ABCD,,全对得分
爱因斯坦说过：“想像力比知识更重要，因为知识是有限的，而想像力概括着世界上的一切，推动着进步，并且是知识进化的源泉。严格地说，想像力是科学研究中的实在因素”。这说明（       ）,在科学研究中想象力是最重要的因素,认识也需要想象,想象能够促使人们的认识不断深化,想像有助于科学的发现,BCD,,全对得分
泰戈尔说：“错误经不起失败，但是真理却不怕失败。”这说明（       ）,正确的认识未必会导致成功的实践,正确的认识必然获得成功的实践,分析失败的原因是使失败变为成功的重要条件,从失败中吸取教训，失败也能变为成功,ACD,,全对得分
马克思说：“批判的武器当然不能代替武器的批判，物质的力量只能用物质力量来摧毁；但是理论一经掌握群众，也会变成物质力量。”这段话体现的哲学思想是（       ）,理论就是巨大的物质力量,理论对实践有指导作用,理论不能代替实践,理论可以决定一切,BC,,全对得分
认为“我们的一切知识都在经验里扎着根基，知识归根结蒂由经验而来”，它（       ）,是唯理论的观点,是经验论的观点,否定了理性认识的作用,夸大了感性认识的作用,BCD,,全对得分
毛泽东说“感觉到了的东西，我们不能立刻理解它，只有理解了的东西才能深刻地感觉它”。这一论断揭示了（       ）,感性认识和理性认识有质的不同,感性认识需要上升到理性认识，理性认识能促进感性认识,感性认识对人们认识事物本质没有实际意义,感性认识是认识的初级阶段，理性认识是认识的高级阶段,ABD,,全对得分
由理性认识到实践的过程是（       ）,积极能动的过程,消极被动的过程,自发实现的过程,质的飞跃的过程,AD,,全对得分
毛泽东说：“一切比较完全的知识都是由两个阶段构成的：第一阶段是感性知识，第二阶段是理性知识，理性知识是感性知识的高级发展阶段。”对此理解正确的是（       ）,理性认识以感性认识为基础,理性认识是认识的高级阶段,感性认识有待于上升到理性认识,感性认识和理性认识是统一的认识过程的两个阶段,ABCD,,全对得分
实践是认识发展的动力，表现在它（       ）,为人们提出新的认识课题,为人们的认识提供经验材料,为人们提供新的认识工具,提高了人们的认识能力,ABCD,,全对得分
盲人摸象的故事说明（       ）,人的认识结果由主体的观念意志决定,主体在认识过程中具有能动的作用,主体反映客体的过程是主体获取、加工、处理客体信息的过程,主体自身的价值取向、思维方式和知识背景等因素影响着主体对客体信息的选择和重构,BCD,,全对得分
人类活动的两个基本原则是（       ）,真理原则,价值原则,效率原则,公平原则,AB,,全对得分
马克思主义认识论认为，主体与客体关系的内涵包括（       ）,实践关系,认识关系,价值关系,审美关系,ABCD,,全对得分
马克思指出：“全部社会生活在本质上是实践的。凡是把理论引向神秘主义的神秘东西，都能在人的实践中以及对这个实践的理解中得到合理的解决。”马克思主义哲学把实践观引入认识论，彻底划清了（       ）,能动革命的反映论与直观被动的反映论的界限,可知论与不可知论的界限,唯物主义反映论与唯心主义先验论的界限,辩证反映论与形而上学反映论的界限,ABCD,,全对得分
认识运动所以要经过多次反复，是因为（       ）,事物因果联系性,事物的矛盾暴露的过程性,人类认识能力的不可靠性,人们实践及其认识条件的历史性,BD,,全对得分
真理和谬误的关系（       ）,就一定范围和一定客观对象来说，它们是对立的,是相互联系的，两者相比较而存在,是通过与谬误的斗争来实现真理的发展,是两者在一定条件下相互转化,ABCD,,全对得分
科学技术在社会经济发展中的作用表现在（         ）,它能提高劳动者的素质和劳动技能,它有助于发现新的劳动对象和劳动对象的新用途,它物化为新的生产工具，促进生产率的提高,它有助于生产管理的合理化,ABCD,,全对得分
历史唯心主义的错误在于没有（         ）,考查人们动机背后的物质原因,揭示人民群众创造历史的作用,找到社会发展的客观规律性,发现物质生产是社会存在和发展的基础,ABCD,,全对得分
地理环境对社会发展的作用表现在（         ）,提供社会生产和生活资料的物质来源,影响社会生产部门的分布,不同地理环境可以加速或延缓社会发展,是社会发展的决定因素,ABC,,全对得分
自然规律和社会规律的不同点是（         ）,自然规律是由客观物质力量决定的，社会规律是由人们的思想动机决定的,自然规律没有阶级性，社会规律在阶级社会具有阶级性,自然规律是自发实现的，社会规律要通过人们的有意识的活动才能实现,自然规律存在于自然界，社会规律是自然界发展到一定阶段，出现了人类社会之后才产生的，它存在于人类实践活动之中,CD,,全对得分
历史唯物主义的基本原理有（         ）,人类社会也是一个自然历史过程,社会基本矛盾是社会发展的动力,人民群众是历史的创造者,社会存在决定社会意识，社会意识反作用于社会存在,ABCD,,全对得分
无产阶级政党的群众观点包括（         ）,相信群众的观点,为人民群众服务的观点,对人民群众负责的观点,虚心向群众学习的观点,ABCD,,全对得分
人民群众是历史的创造者，因为（         ）,人民群众是物质财富的创造者,人民群众是社会精神财富的创造者,人民群众是社会变革的决定力量,人民群众是先进生产力和先进文化的创造主体及实现自身利益的根本力量,ABCD,,全对得分
人的自觉活动在社会发展中的作用表现在（         ）,社会历史是人们自己创造的,人们创造历史的活动可以摆脱既定历史条件的制约,人们可以认识、利用和驾驭社会规律,人们可以对社会发展的具体途径进行历史选择，通过不同的具体道路实现社会发展的客观规律,ACD,,全对得分
马克思对阶级斗争学说的新贡献是（         ）,发现了社会上的阶级斗争，提出了阶级斗争学说,发现阶级和阶级斗争的存在只同生产发展的一定历史阶段相联系,阶级斗争必然导致无产阶级专政,无产阶级专政是达到消灭一切阶级和进入无阶级社会的过渡,BCD,,全对得分
社会意识是（         ）,社会的精神生活过程,人的头脑中自生的,绝对观念在头脑中的体现,对社会存在的反映,AD,,全对得分
党的群众路线是（         ）,一切为了群众，一切依靠群众，从群众中来，到群众中去,在党的群众观点的指导下形成的,群众观点在实际工作中的贯彻运用,马克思主义政党的根本路线,ABCD,,全对得分
马克思认为，“革命是历史的火车头”，是“社会进步和政治进步的强大推动力”。这是因为（         ）,革命是实现社会形态更替的重要手段和决定性环节,革命使人民群众创造历史的积极性和主动性得到充分发挥,革命能改造和教育群众以及革命阶级本身,革命能够解放和促进生产力的发展,ABCD,,全对得分
社会的物质性表现为（         ）,社会形态的发展是自然历史过程,生产方式是发展的决定力量,社会是独立于人之外的客观过程,物质生活的生产方式制约精神生活过程,ABD,,全对得分
社会意识的相对独立性表现为（         ）,它的发展变化与社会存在的发展变化不完全同步,它与社会经济水平之间在发展上的不平衡性,它的发展往往具有历史继承性,各种社会意识形式之间的相互作用和影响,ABCD,,全对得分
群众活动和社会历史条件的辩证关系是（         ）,历史条件为人民群众提供活动前提,人民群众的活动要受历史条件的制约,人民群众能不断打破原有历史条件的制约,人民群众最终摆脱历史的制约,ABC,,全对得分
在下列事物中，属于历史唯物主义的“社会存在”的有（         ）,人们实践活动所利用的自然资源,人们在实践活动中所形成的社会关系,人们实践活动所创造的生产力,马克思主义意识形态,AC,,全对得分
唯物史观从人民群众创造历史这一基本前提出发，科学地说明了个人在历史上的作用。它认为（         ）,社会历史发展是无数个人合力作用的结果,历史人物在历史的发展过程中起着特殊的作用,要从必然与偶然的辩证统一中理解个人的历史作用,评价历史人物必须坚持历史分析方法和阶级分析方法,ABCD,,全对得分
生产关系一定要适合生产力状况的规律的内容表现为（         ）,生产力决定生产关系,生产力决定一定的生产关系能否产生及其发展方向,生产关系反作用于生产力,生产关系的反作用归根到底取决于和服从于生产力的状况,ABCD,,全对得分
社会革命的实质是（         ）,国家政权在各阶级之间的相互转移,国家政权在统治阶级内部各集团之间的相互转移,革命阶级推翻反动阶级的统治,用先进的社会制度代替腐朽的社会制度,CD,,全对得分
既承认人民群众的决定作用，又承认英雄人物对历史的重大影响作用。这（         ）,坚持人民群众和英雄人物共同创造历史,说明对群众作用的肯定内在地包含了对个人作用的肯定,坚持人民群众创造历史的唯物史观,把群众史观与英雄史观调和起来,BC,,全对得分
社会基本矛盾作为社会发展的根本动力，它在社会发展中的作用主要表现在（         ）,在社会矛盾中，生产力是人类社会发展和进步的最终决定力量,生产力和生产关系的矛盾是“一切历史冲突的根源”,社会基本矛盾从根本上影响和促进社会形态的变化和发展,经济基础和上层建筑的矛盾决定生产力和生产关系的矛盾,ABC,,全对得分
生产关系一定要适合生产力状况的规律（         ）,体现了社会存在和社会意识的辩证关系,是生产力和生产关系之间的内在的、本质的必然联系,是人类社会发展的普遍规律,是马克思主义政党制定方针、政策的重要客观依据,BCD,,全对得分
人们对于社会形态的历史选择，最终决定于（         ）,人民群众的根本利益,人民群众的根本意愿,人民群众对社会规律的把握和顺应程度,领导层的根本利益和根本意愿,ABC,,全对得分
生产力和生产关系、经济基础和上层建筑的矛盾是社会基本矛盾，因为它们（         ）,贯穿于人类社会发展过程的始终,规定社会的基本结构的性质，涉及社会基本领域,制约着社会其他矛盾的存在和发展,决定社会历史的一般进程，推动社会向前发展,ABCD,,全对得分
上层建筑是一个庞大的体系，包括丰富的内容，可以把它们归结为两个组成部分。这两个部分是（         ）,政治上层建筑,观念上层建筑,政治思想和制度,法律思想和制度,AB,,全对得分
马克思说：“无论哪一种社会形态，在它所能容纳的全部生产力发挥出来以前，是决不会灭亡的；而新的更高的生产关系，在它存在的物质条件在旧社会的胞胎里成熟以前，是决不会出现的。”这段话说明（         ）,生产力的发展是促使社会形态更替的最终原因,一种新的生产关系的产生需要客观的物质条件,社会形态总是超社会、超历史的,无论哪一种社会形态，当它还能够促进生产力发展时，是不会灭亡的,ABD,,全对得分
马克思指出，科学“是历史的有力的杠杆”，“是最高意义上的革命力量”。这意味着（         ）,科学技术是社会进步的革命因素,社会历史是由科学技术所决定的,科学技术革命是社会动力系统中的一种重要的动力,科学技术具有多方面的社会功能,ACD,,全对得分
生产力的客观性在于（         ）,它是人们不能自由选择的物质力量,它是前人实践活动的客观结果,它是当代人的实践活动的物质基础和出发点,构成生产力的诸要素是物质的、客观的,ABCD,,全对得分
