text,A,B,C,D,ans,答题解析,判分规则
“一个政权也好，一个政党也好，其前途与命运最终取决于人心向背，不能赢得最广大人民群众的支持，就必然垮台。”这一思想（         ）,坚持人民群众是历史创造者,坚持群众观点是无产阶级政党在一切工作中主张的根本观点,主张无产阶级政党必须代表最广大人民群众的根本利益,主张正确的群众观点是党制定正确路线、方针和政策的理论基础,ABCD,,全对得分
马克思说：“无论哪一种社会形态，在它所能容纳的全部生产力发挥出来以前，是决不会灭亡的；而新的更高的生产关系，在它存在的物质条件在旧社会的胞胎里成熟以前，是决不会出现的。”这段话说明（         ）,生产力的发展是促使社会形态更替的最终原因,一种新的生产关系的产生需要客观的物质条件,社会形态总是超社会、超历史的,无论哪一种社会形态，当它还能够促进生产力发展时，是不会灭亡的,ABD,,全对得分
纳什在《大自然的权力》中提出“人们对自然的了解越多，就越难以接受那种认为宇宙是为人类而存在的观点。与其说人类是自然的主人，不如说他是自然共同体的一个成员”。这说明（         ）,人与自然应当遵循和谐的整体发展目标,人与社会的发展不应以牺牲环境为代价,必须从整体生态系统中去考察人与社会发展的关系,自然历史的变迁永远为人类所主宰,ABC,,全对得分
爱因斯坦说：“人们只懂得应用科学本身是不够的。关心人本身，应当始终成为一切技术上的奋斗目标”，这一思想揭示了（         ）,科学技术与人文精神结合的重要性,随着科学技术的进一步发展，人类就能解决人口、能源、环境等问题,科学技术作为人的工具是中性的,因为科学的价值由人来决定，因此解决一系列“全球问题”不能依赖科学,AC,,全对得分
恩格斯指出：“历史是这样创造的：最终的结果总是从许多单个的意志的相互冲突中产生出来的，而其中每一个意志，又是由于许多特殊的生活条件，才成为它所成为的那样。这样就有无数互相交错的力量，有无数个力的平行四边形，因此就产生出一个合力，即历史结果……”这句话揭示（         ）,历史是由千百万人共同创造的,历史发展的趋势不依单个人的意志为转移,历史人物起推动社会前进的积极作用,离开了个人作用就不可能有群众的作用,ABD,,全对得分
交换价值是（          ）,一种商品价值与另一种商品价值相交换量的关系或比例,一种商品使用价值与另一种商品使用价值相交换的量的关系或比例,商品价值的表现形式,商品使用价值的表现形式,BC,,全对得分
价格围绕价值上下波动，不是对价值规律作用的否定，而恰恰是价值规律作用的表现形式，下列说法错误的是（          ）,商品交换都是按照价格与价值相一致的原则进行的,从商品交换的总体看，价格总额与价值总额也是不相等的,从商品交换的较长时间看，价格与价值是趋于一致的,各种商品价格的波动，是以各自的价值为基础的,AB,,全对得分
“意识在任何时候都只能是被意识到了的存在，而人们的存在就是他们的现实生活过程。”这表明（         ）,社会意识的发展变化同社会存在变化的不完全同步性,社会意识可以脱离社会存在独立发展,社会意识和经济发展的不平衡性,社会意识的发展具有历史继承性,ACD,,全对得分
“历史事件似乎总的来说同样是由偶然性支配的。但是，在表面上是偶然性在起作用的地方，这种偶然性始终是受内部的隐蔽着的规律支配的，而问题只是在于发现这些规律。”这句话揭示了（         ）,社会历史发展充满偶然性，无法控制,社会历史发展既具有偶然性，又具有必然性,发现规律就定能支配规律,在社会历史发展中，人类具有选择性,BD,,全对得分
在人的意志对社会发展的作用这一问题上，历史唯物主义认为（         ）,任何人的意志对社会发展的总结果（合力）都起着作用，因而都包括在这个总结果（合力）之中,任何人的意志都不能改变社会发展的总趋势,任何人的意志都必然合乎社会发展的规律,任何人的意志都只能受社会发展规律的盲目支配，而不能有自由,AB,,全对得分
使用价值和价值是商品的两个基本因素。当生产者把商品卖给消费者时，（          ）,生产者和消费者都得到了商品的使用价值和价值,生产者既实现了商品的使用价值，也实现了商品的价值,生产者实现了商品的价值，却让渡了商品的使用价值,消费者得到了商品的使用价值，却支付了商品的价值,CD,,全对得分
马克思指出“劳动力的价值也是由生产从而再生产这种特殊物品所必需的劳动时间决定的”。因此，劳动力商品的价值构成包括（          ）,维持劳动者生存所需要的生活资料价值,劳动者进行生产活动所必须的生产资料价值,养育子女所需要的生活资料价值,劳动者的教育和培训费用,ACD,,全对得分
在商品经济运行中，价值、价格、供求三者之间的关系是（          ）,价格受供求关系影响，围绕价值上下波动,价格受价值影响，随供求关系变化而变动,价格由价值决定，反映价值并反映供求关系,价格由价值决定，受供求关系影响又制约供求关系,ACD,,全对得分
马克思指出，在商品经济中，价值规律是“作为起调节作用的自然规律强制地为自己开辟道路，就像房屋倒在人的头上时重力定律强制为自己开辟道路一样”。这表明（          ）,价值规律是商品经济的一般规律或基本规律,价值规律和自然规律一样具有强制性,价值规律具有自发性,价值规律排斥人的主观能动性,ABC,,全对得分
影响劳动生产率高低的主要因素有（          ）,科学技术的发展水平及其在工艺上的应用程度,劳动者技术的平均熟练程度,生产资料的规模和效能以及自然条件,生产过程中分工和协作的合理程度,ABCD,,全对得分
“物以稀为贵，商品价值量的大小是由市场的供求关系决定的”，这种观点（          ）,正确揭示了决定商品价值量大小的根源,是正确的观点,否定了社会必要劳动时间对商品价值量大小的决定作用,是错误的观点,BD,,全对得分
马克思指出，“处于流动状态的人类劳动力或人类劳动形成价值，但本身并不是价值。它在凝固的状态中，在物化的形式上才形成价值。这就是说，要把人类抽象劳动，凝结在一定的物体里面，即一定的对象里，它才形成价值。”这说明（          ）,价值是商品的本质属性,价值是由抽象劳动形成的,价值体现商品生产者相互交换劳动的关系,价值是交换价值的内容和基础,ABCD,,全对得分
具体劳动和抽象劳动是生产商品的同一劳动过程的两个方面，二者的区别在于（          ）,具体劳动是劳动的具体形式，抽象劳动是一般的人类劳动,不同的具体劳动有质的不同，抽象劳动没有质的差别,具体劳动反映人与自然的关系，抽象劳动体现商品生产者之间的关系,具体劳动创造商品的使用价值，抽象劳动创造商品的价值,ABC,,全对得分
劳动和劳动力的区别还在于（          ）,劳动力是蕴藏在人们身体中的脑力和体力的总和，它是存在于活的人体内的劳动能力,劳动则是劳动力在生产过程中的耗费和发挥,劳动力的存在以健康人的生存为条件,劳动的实现必须以生产资料和劳动力相结合为条件,ABCD,,全对得分
关于资本主义工资的问题，下列说法正确的是（          ）,科学地区分劳动和劳动力是揭示资本主义工资本质的关键,资本主义工资的基本形式分为计时工资和计件工资两种,资本主义工资小于工人在生产劳动中创造的新价值,资本主义工资掩盖了雇佣工人的必要劳动和剩余劳动的区别,ABCD,,全对得分
人类进入了21世纪，与马克思所处的时代相比，社会经济条件发生了很大的变化。因此，必须深化对马克思劳动价值论的认识。主要包括（          ）,深化对创造价值的劳动的认识,深化对价值创造与价值分配关系的认识,深化对科技人员、经营管理人员在社会生产和价值创造中所起的作用的认识,深化对科技、知识、信息等新的生产要素在财富和价值创造中的作用的认识,ABCD,,全对得分
资本主义生产过程是劳动过程和价值增殖过程的统一。在这一过程中，具体劳动（          ）,生产新的使用价值,创造剩余价值,转移劳动力的价值,转移生产资料的价值,AD,,全对得分
对资本主义简单再生产过程分析的意义在于揭示（          ）,资本主义再生产过程中资本运动所采取的形式,可变资本是工人创造的价值的一部分,不仅可变资本而且全部资本都是工人的劳动创造的,工人的个人消费不过是为资本家再生产劳动力,BCD,,全对得分
影响资本积累数量的因素有（          ）,对劳动力的剥削程度,社会劳动生产率的水平,预付资本量的大小,所用资本和所费资本之间的差额,ABCD,,全对得分
社会形态的更替具有客观性和必然性，但这并不否定人们历史活动的能动性，并不排斥人们在遵循社会发展规律的基础上，对于某种社会形态的历史选择性。人们历史活动的能动性和选择性主要体现在（         ）,社会发展的客观过程由每一个参与历史活动的个人的主观意志所决定,社会形态更替的过程是主体能动性与客观规律性相统一的过程,人们的历史选择性归根结底是人民群众的选择性,社会发展的客观必然性为人们的历史选择提供了基础、范围和可能性空间,ACD,,全对得分
资本主义政治制度包括（          ）,资本主义的民主与法制,政治组织形式,选举制度,政党制度,ABCD,,全对得分
某消费者在下列经济行为中，属于货币执行支付手段职能的有（          ）,购买商品房，合同约定房价30万元,按合同约定，第二年房款10万元,缴纳房屋契税9000元,在装饰材料市场现购材料5万元,BC,,全对得分
下列例子中货币充当支付手段的有（          ）,在某商店一台电视机标价1000元,某消费者得到工资和奖金,某消费者还欠别人的钱,某消费者在每月底用现金缴房租,BCD,,全对得分
决定一定时期内流通中所需要的货币量的因素主要有（          ）,进入流通的商品数量,商品的价格水平,货币发行量,货币流通速度,ABD,,全对得分
资本主义国家的职能的两个基本方面是（          ）,立法司法职能,对内职能,对外职能,行政职能,BC,,全对得分
商品的价目表说明（          ）,货币在执行价值尺度的职能,货币在充当商品交换的媒介,价格是商品价值的货币表现,商品价格的高低,ACD,,全对得分
资本积累规模的大小取决于（          ）,对工人的剥削程度,预付资本量的大小,所用资本和所费资本之间的差额,劳动生产率的高低,ABCD,,全对得分
资本积累、积聚和集中的相互关系是（          ）,资本集中是资本积累的直接结果,资本积聚是资本积累的实现条件,资本积聚有利于资本集中,资本迅速集中会加快资本积累,ACD,,全对得分
下列现象掩盖资本主义剥削实质的是（          ）,资本总是表现为一定的物,不变资本只是剩余价值生产的条件,资本主义工资是工人全部劳动的报酬,资本主义利润是全部预付资本的产物,CD,,全对得分
资本主义政权的分权制衡是指（          ）,立法权,管理权,行政权,司法权,ACD,,全对得分
剩余价值与利润这两个范畴之间的关系是（          ）,利润是剩余价值的转化形式,剩余价值是利润的转化形式,剩余价值是利润的本质,利润掩盖了剩余价值的真正源泉,ACD,,全对得分
资本主义政治制度（          ）,建立在资本主义社会的经济基础之上,反映了资本主义社会的经济关系,反映了政治上占统治地位的资产阶级的要求,作为上层建筑，为巩固和发展资本主义社会的经济基础提供政治保障,ABCD,,全对得分
资产阶级政党在国家政治生活中发挥着很大作用，包括（          ）,代表资产阶级执掌政权，对政府施加影响、控制议会,制定和推行符合资产阶级利益的方针、政策,操纵选举,控制群众团体和舆论宣传,ABCD,,全对得分
第二次世界大战后，发达资本主义国家工人工作日有所缩短，这表明（          ）,对工人剥削程度有所减轻,劳动生产率明显提高,必要劳动时间大为缩短,相对剩余价值成为主要剥削形式,BCD,,全对得分
资本主义工资之所以表现为劳动的价值或价格是因为（          ）,工资被看做是全部劳动的报酬,工人一般在提供了劳动之后，资本家才付工资,工资依劳动时间长短而不同,工资依劳动效率高低而不同,BCD,,全对得分
分析资本主义经济之所以从商品开始，是因为（          ）,资本主义经济是高度发达的商品经济,资本主义社会的财富普遍采取商品形式,商品是资本主义经济的细胞,商品包含着资本主义一切矛盾的萌芽,ABCD,,全对得分
资产阶级意识形态的本质是（          ）,根本上代表了人民的意志和愿望,集中地体现了资本主义国家文化的精华,是为资本主义社会形态的经济基础服务的,是资产阶级阶级意识的集中体现,CD,,全对得分
下列哪些说法是错误的：单位商品的价值量和生产这种商品的（          ）,社会劳动生产率成正比,社会必要劳动时间成正比,社会劳动生产率成反比,社会必要劳动时间成反比,AD,,全对得分
剩余价值与利润这两个范畴之间的关系中，错误的说法是（          ）,利润是剩余价值的转化形式,剩余价值是利润的转化形式,剩余价值掩盖了利润的真正源泉,利润掩盖了剩余价值的真正源泉,BC,,全对得分
资本主义基本矛盾及其表现是（          ）,各个企业内部生产的有组织性和整个社会生产无政府状态之间的矛盾,社会生产无限扩大的趋势与有支付能力的需求相对狭小的矛盾,无产阶级与资产阶级之间的矛盾,生产社会化和生产资料资本主义私人占有形式之间的矛盾,ABC,,全对得分
尊重和利用价值规律，就是要（          ）,利用价格杠杆，调节供求，使社会资源配置趋于合理，经济整体素质不断提高,不断采用新技术，加强管理，降低成本,坚持市场导向，调整产品结构，提高企业竞争力,鼓励公平竞争，反对垄断行为、地方保护主义及各种不正当竞争,ABCD,,全对得分
我们可以借鉴的资本主义意识形态的理论有（          ）,关于人类政治生活客观规律的探索,关于经济运行一般规律的揭示,关于思维规律的研究,关于司法实践历史经验的描述,ABCD,,全对得分
一切商品都包含着价值与使用价值两个因素，这是因为（          ）,凡是没有使用价值的物品，就不会有价值,没有价值的物品，虽然有使用价值也不能成为商品,使用价值是商品价值的物质承担者,有使用价值的物品，就必然有价值,ABC,,全对得分
关于资本主义工资，错误的看法有（          ）,工资就是劳动的报酬,工资就是劳动力的价值或价格,工资就是劳动力价值的货币表现,工资就是劳动的价值或价格,AD,,全对得分
纸币是国家发行的强制使用的价值符号，它可以（          ）,代表金属货币执行流通手段职能,代表金属货币执行支付手段职能,充当储蓄手段,按一定汇率在不同国家之间进行兑换,ABCD,,全对得分
资本主义国家的对外职能主要有（          ）,对被统治阶级进行压迫和控制的政治功能,对邮政、铁路、水路、文教、卫生保健、社会福利等事业进行管理的公共管理职能,进行国际交往的职能,维护国家安全和利益的职能,CD,,全对得分
资本主义国家工人工作日法定的缩短后，不正确的说法有（          ）,对工人剥削程度大大减轻,劳动生产率明显提高,必要劳动时间大为缩短,绝对剩余价值成为主要剥削形式,AD,,全对得分
价格围绕价值上下波动，不是对价值规律作用的否定，而恰恰是价值规律作用的表现形式，下列说法错误的是（          ）,商品交换都是按照价格与价值相一致的原则进行的,从商品交换的总体看，价格总额与价值总额也是不相等的,从商品交换的较长时间看，价格与价值是趋于一致的,各种商品价格的波动，是以各自的价值为基础的,AB,,全对得分
“商品是天生的平等派”，这表明（          ）,相同的商品只能卖同样的价钱,商品的价值由社会必要劳动时间决定,商品的个别生产时间对商品的社会必要劳动时间没有影响,商品交换过程中，市场价格由价值决定,BD,,全对得分
一切商品都是（          ）,劳动产品,用来交换的劳动产品,使用价值和价值的统一体,用来满足人们某种需要的劳动产品,ABCD,,全对得分
不能反映资本家对工人的剥削程度的公式是（          ）,剩余价值/可变资本,剩余价值/全部预付资本,剩余劳动时间/必要劳动时间,剩余价值/不变资本,BD,,全对得分
商品是使用价值和价值的统一。下面说法错误的是（          ）,缺少使用价值和价值任何一方面，都不能成为商品,使用价值和价值什么时候都不能分开,有使用价值，但不是劳动产品，也不是商品，因为没有价值,有使用价值，也是劳动产品，一定有价值,BD,,全对得分
关于绝对剩余价值生产和相对剩余价值生产，错误的说法是（          ）,都体现着资本家对工人的剥削关系,都延长了劳动时间,都是资本主义社会发展早期采用的方法,都提高了剩余价值率,BC,,全对得分
下面不属于价值规律内容是（          ）,商品的价值量由生产商品的社会必要劳动时间决定,商品交换以价值量为基础实行等价交换,商品交换时供求变化影响了价格，使价格背离了价值,价格机制对生产者来说就是他安排生产的指挥棒,CD,,全对得分
关于资本主义生产过程，正确的是（          ）,生产出新的使用价值,转移了生产资料的价值,提升了劳动的价值,创造出剩余价值,ABD,,全对得分
关于不变资本和可变资本的划分，错误的说法是（          ）,进一步揭示了剩余价值的真正源泉,为计算剩余价值率提供了科学依据,为计算资本周转速度提供了依据,为资本家计算利润奠定了基础,CD,,全对得分
劳动和劳动力的区别还在于（          ）,劳动力是蕴藏在人们身体中的脑力和体力的总和，它是存在于活的人体内的劳动能力,劳动则是劳动力在生产过程中的耗费和发挥,劳动力的存在以健康人的生存为条件,劳动的实现必须以生产资料和劳动力相结合为条件,ABCD,,全对得分
马克思所处的时代相比，对劳动创造价值的认识还缺乏对（          ）,劳动中科技含量和知识含量的认识,科技人员和管理人员劳动的认识,农业劳动已成为物质生产劳动的基本形式的认识,体力劳动已成为物质生产劳动的基本形式的认识,AB,,全对得分
马克思指出，“处于流动状态的人类劳动力或人类劳动形成价值，但本身并不是价值。它在凝固的状态中，在物化的形式上才形成价值。这就是说，要把人类抽象劳动，凝结在一定的物体里面，即一定的对象里，它才形成价值。”这说明（          ）,价值是商品的本质属性,价值是由抽象劳动形成的,价值体现商品生产者相互交换劳动的关系,价值是交换价值的内容和基础,ABCD,,全对得分
商品的价值是（          ）,由抽象劳动创造的,商品的自然属性,生产商品消耗的具体劳动,商品的社会属性,AD,,全对得分
资本主义劳动过程同其他劳动过程相比较体现出来的特点是（          ）,创造新的使用价值,创造新的价值,劳动产品归资本家所有,工人在资本家监督下劳动，其劳动属于资本家,CD,,全对得分
下列选项对资本主义意识形态理解正确的是（          ）,资本主义意识形态是资本主义社会条件下的观念上层建筑,资本主义意识形态是为资本主义社会形态的经济基础服务的,资本主义意识形态是资产阶级意识的集中体现,在资本主义国家中占统治地位的政治、经济、法律都属于资本主义意识形态范畴,ABCD,,全对得分
关于剩余价值规律下列说法错误的是（          ）,揭示了资本主义生产的目的和达到目的的手段,反映资本主义生产的实质,是商品经济的基本规律,伴随市场经济始终的经济规律,CD,,全对得分
货币的本质通过它的职能体现出来，货币有多种职能，其中最基本的职能是（          ）,价值尺度,流通手段,支付手段,贮藏手段和世界货币,AB,,全对得分
马克思指出“劳动力的价值也是由生产从而再生产这种特殊物品所必需的劳动时间决定的”。因此，劳动力商品的价值构成包括（          ）,维持劳动者生存所需要的生活资料价值,劳动者进行生产活动所必须的生产资料价值,养育子女所需要的生活资料价值,劳动者的教育和培训费用,ACD,,全对得分
对资本主义简单再生产过程分析的意义在于揭示（          ）,资本主义再生产过程中资本运动所采取的形式,可变资本是工人创造的价值的一部分,不仅可变资本而且全部资本都是工人的劳动创造的,工人的个人消费不过是为资本家再生产劳动力,BCD,,全对得分
马克思指出：“我们在这里最初看到的利润，和剩余价值是一回事，不过它具有一个神秘的形式，而这个神秘化的形式必然会从资本主义生产方式中产生出来。”恩格斯也指出：“马克思一有机会就提醒读者注意，决不要把他所说的剩余价值同利润或资本赢利相混淆。”这说明（          ）,利润是剩余价值的一种具体形式,剩余价值是利润的本质内容,剩余价值是资本的赢利,利润常常只是剩余价值的一部分,ABD,,全对得分
交换价值是（          ）,一种商品价值与另一种商品价值相交换量的关系或比例,一种商品使用价值与另一种商品使用价值相交换的量的关系或比例,商品价值的表现形式,商品使用价值的表现形式,BC,,全对得分
价值是（          ）,凝结在商品中的抽象劳动,商品的社会属性,交换价值的基础,反映商品生产者之间的关系,ABCD,,全对得分
下列选项关于商品的价值、使用价值以及交换价值的关系理解正确的是（          ）,使用价值是交换价值的物质承担者,价值是交换价值的基础,价值是使用价值的表现形式,交换价值是价值的表现形式,ABD,,全对得分
人类进入了21世纪，与马克思所处的时代相比，社会经济条件发生了很大的变化。因此，必须深化对马克思劳动价值论的认识。主要包括（          ）,深化对创造价值的劳动的认识,深化对价值创造与价值分配关系的认识,深化对科技人员、经营管理人员在社会生产和价值创造中所起的作用的认识,深化对科技、知识、信息等新的生产要素在财富和价值创造中的作用的认识,ABCD,,全对得分
在商品经济运行中，价值、价格、供求三者之间的关系是（          ）,价格受供求关系影响，围绕价值上下波动,价格受价值影响，随供求关系变化而变动,价格由价值决定，反映价值并反映供求关系,价格由价值决定，受供求关系影响又制约供求关系,ACD,,全对得分
关于资本主义工资的问题，下列说法正确的是（          ）,科学地区分劳动和劳动力是揭示资本主义工资本质的关键,资本主义工资的基本形式分为计时工资和计件工资两种,资本主义工资小于工人在生产劳动中创造的新价值,资本主义工资掩盖了雇佣工人的必要劳动和剩余劳动的区别,ABCD,,全对得分
使用价值和价值是商品的两个基本因素。当生产者把商品卖给消费者时，（          ）,生产者和消费者都得到了商品的使用价值和价值,生产者既实现了商品的使用价值，也实现了商品的价值,生产者实现了商品的价值，却让渡了商品的使用价值,消费者得到了商品的使用价值，却支付了商品的价值,CD,,全对得分
下列关于使用价值与价值的表述，正确的有（          ）,使用价值是永恒范畴，而价值是历史范畴,使用价值是商品的自然属性，而价值是商品的社会属性,使用价值是具体劳动创造的，而价值是由抽象劳动形成的,使用价值和价值既相互依存，互为前提，又相互对立,ABC,,全对得分
具体劳动和抽象劳动是生产商品的同一劳动过程的两个方面，二者的区别在于（          ）,具体劳动是劳动的具体形式，抽象劳动是一般的人类劳动,不同的具体劳动有质的不同，抽象劳动没有质的差别,具体劳动反映人与自然的关系，抽象劳动体现商品生产者之间的关系,具体劳动创造商品的使用价值，抽象劳动创造商品的价值,ABC,,全对得分
马克思指出，在商品经济中，价值规律是“作为起调节作用的自然规律强制地为自己开辟道路，就像房屋倒在人的头上时重力定律强制为自己开辟道路一样”。这表明（          ）,价值规律是商品经济的一般规律或基本规律,价值规律和自然规律一样具有强制性,价值规律具有自发性,价值规律排斥人的主观能动性,ABC,,全对得分
资本主义国家的对内职能主要有（          ）,对被统治阶级进行压迫和控制的政治功能,对邮政、铁路、水路、文教、卫生保健、社会福利等事业进行管理的公共管理职能,进行国际交往的职能,维护国家安全和利益的职能,AB,,全对得分
影响劳动生产率高低的主要因素有（          ）,科学技术的发展水平及其在工艺上的应用程度,劳动者技术的平均熟练程度,生产资料的规模和效能以及自然条件,生产过程中分工和协作的合理程度,ABCD,,全对得分
资本主义政治制度的历史和阶级局限性是（          ）,资本主义的民主是金钱操纵下的民主,法律名义上的平等掩盖了事实上的不平等,资本主义国家的多党制是资产阶级选择自己的国家管理者、实现其内部利益平衡的政治机制,制定和推行符合资产阶级利益的方针、政策,ABC,,全对得分
反映资本家对工人的剥削程度的公式是（          ）,剩余价值/可变资本,剩余价值/全部预付资本,剩余劳动时间/必要劳动时间,年剩余价值量/预付可变资本,AC,,全对得分
影响资本积累数量的因素有（          ）,对劳动力的剥削程度,社会劳动生产率的水平,预付资本量的大小,所用资本和所费资本之间的差额,ABCD,,全对得分
