text,A,B,C,D,ans,答题解析,判分规则
价格受市场供求的影响，围绕价值上下波动，不是对价值规律作用的否定，而是价值规律作用的表现形式，这是因为（          ）,商品交换都是按照价格与价值相一致的原则进行的,从商品交换的总体看，价格总额与价值总额是相等的,从商品交换的较长时间看，价格与价值是趋于一致的,各种商品价格的波动，是以各自的价值为基础的,BCD,,全对得分
“物以稀为贵，商品价值量的大小是由市场的供求关系决定的”，这种观点（          ）,正确揭示了决定商品价值量大小的根源,是正确的观点,否定了社会必要劳动时间对商品价值量大小的决定作用,是错误的观点,BD,,全对得分
简单商品经济中所包含的各种矛盾主要是（          ）,使用价值和价值的矛盾,价值和交换价值的矛盾,具体劳动和抽象劳动的矛盾,私人劳动和社会劳动的矛盾,ACD,,全对得分
绝对剩余价值生产和相对剩余价值生产的共同点（          ）,都体现着资本家对工人的剥削关系,都延长了剩余劳动时间,都增加了剩余价值量,都提高了剩余价值率,ABCD,,全对得分
资本主义生产过程是劳动过程和价值增殖过程的统一。在这一过程中，具体劳动（          ）,生产新的使用价值,创造剩余价值,转移劳动力的价值,转移生产资料的价值,AD,,全对得分
劳动力商品的价值包括（          ）,维持劳动者生存所需要的生活资料价值,劳动者维持生产所必需的生产资料价值,养育子女所需要的生活资料价值,劳动者的教育和培训费用,ACD,,全对得分
价值规律的内容和要求是（          ）,商品的价值量由生产商品的社会必要劳动时间决定,商品交换以商品的价值量为基础,商品交换必须实行等价交换,价格围绕价值上下波动,ABC,,全对得分
资本区分为不变资本和可变资本的意义在于（          ）,进一步揭示了剩余价值的真正源泉,为计算剩余价值率提供了科学依据,为计算资本周转速度提供了依据,为平均利润、生产价格理论奠定了基础,ABD,,全对得分
资本主义生产的结果是（          ）,生产出新的使用价值,转移了生产资料的价值,再生产劳动力的价值,创造出剩余价值,ABCD,,全对得分
剩余价值规律（          ）,揭示了资本主义生产的目的和达到目的的手段,反映资本主义生产的实质,在资本主义社会起主导作用,决定资本主义生产的主要方面和主要过程,ABCD,,全对得分
在新的历史条件下，与马克思所处的时代相比，深化对创造价值的劳动的认识主要有（          ）,劳动的科技含量和知识含量增加了,科技人员和管理人员的劳动在劳动总量中的比重增加了,农业劳动已成为物质生产劳动的基本形式,在总的劳动消耗量中物化劳动的比重增加而活劳动的比重相对减少了,ABD,,全对得分
单位商品的价值量和生产这种商品的（          ）,劳动生产率成正比,社会必要劳动时间成正比,劳动生产率成反比,社会必要劳动时间成反比,BC,,全对得分
纺织厂的资本家购买的用于生产的棉花属于（          ）,不变资本,固定资本,可变资本,流动资本,AD,,全对得分
在其他条件不变的情况下，资本有机构成的提高会导致（          ）,相对过剩人口的形成,利润率的提高,可变资本在总资本中比例的降低,资本周转速度的减缓,AC,,全对得分
商品是使用价值和价值的统一。这表明（          ）,缺少使用价值和价值任何一方面，都不能成为商品,没有使用价值就没有价值,有使用价值，但不是劳动产品，也不是商品,有使用价值，也是劳动产品，但只是供生产者自己消费，也不是商品,ABCD,,全对得分
以下对马克思的劳动价值论的说法正确的是（          ）,是对古典政治经济学劳动价值论的批判、继承和发展,是剩余价值理论的基础,是研究价值分配的理论,为揭示资本主义生产方式的本质奠定了理论基础,ABD,,全对得分
在资本主义现实中，剩余价值是采取各种转化形式出现的，它们有（          ）,成本,工资,利润,利息,CD,,全对得分
具体劳动和抽象劳动的区别是（          ）,具体劳动是劳动的具体形式，抽象劳动是一般人类劳动,具体劳动是体力劳动，抽象劳动是脑力劳动,具体劳动反映人与自然的关系，抽象劳动反映社会生产关系,具体劳动不是使用价值的唯一源泉，抽象劳动是价值的唯一源泉,ACD,,全对得分
为了追逐最大化的利润，资本家总是想方设法地进行资本积累，而资本积累的源泉是剩余价值。一般而言，资本积累规模的大小取决于,利用资本与所费资本之间的差额,劳动生产率的高低,资本家垫付资本的大小,资本家对工人的剥削制度,ABCD,,全对得分
资本主义制度从建立至今，经历了（         ）阶段,自由竞争资本主义,后资本主义,经济危机频发,垄断资本主义,AD,,全对得分
资本主义国家采用的微观规制的类型主要有（         ）,反托拉斯法,公共事业规制,社会经济规制,意识形态规制,ABC,,全对得分
对于输入国来说，资本输出的作用表现在（         ）,促进了输入国自然经济的瓦解和商品经济的发展,带动输入国建成一些经济发展所必需的基础设施,对输入国民族经济的发展没有任何益处,给输入国带来一系列社会经济问题,ABD,,全对得分
垄断资本向世界范围扩展的基本形式有（         ）,借贷资本输出,生产资本输出,商品资本输出,私人资本输出,ABC,,全对得分
社会主义代替资本主义是一个（         ）,长期的历史过程,隐蔽的历史过程,曲折的历史过程,复杂的历史过程,ACD,,全对得分
列宁根据他所处的时代的实践曾指出，资本主义发展到帝国主义，便具有五个基本特征，包括（         ）,垄断组织在经济生活中起决定作用,在金融资本的基础上形成金融寡头的统治,瓜分世界的资本家国际垄断同盟已经形成,最大资本主义大国已把世界上的领土瓜分完毕,ABCD,,全对得分
资本主义制度的历史进步性主要表现在（         ）,促使科学技术转变为生产力,追求剩余价值的动力和竞争的压力推动了生产力发展,资本主义政治制度促进和完善了资本主义生产方式,资本主义意识形态促进和完善了资本主义生产方式,ABCD,,全对得分
垄断资本主义本身发展所经历的阶段是（         ）,企业垄断资本主义阶段,行业垄断资本主义阶段,私人垄断资本主义阶段,国家垄断资本主义阶段,CD,,全对得分
经济全球化发展趋势的主要表现是（         ）,市场经济成为全球经济体制,区域经济集团化日益发展,跨国公司的主导作用增强,几乎所有国家都被卷入了市场经济潮流之中,ABCD,,全对得分
资产阶级推动改良主义的措施主要有（         ）,收买本国工人阶级中少数上层分子和工人领袖从内部分裂破坏工人运动,通过推行福利政策，举办多种福利事业来缓和阶级矛盾,推行“劳资合作”、“工人参加管理”等措施，来调动工人的积极性,宣扬“资本民主化”、“人民资本主义”思想,ABCD,,全对得分
垄断时期竞争的手段主要有（         ）,政治手段,经济手段,暴力手段,欺骗.讹诈和盗窃情报,ABC,,全对得分
国家垄断资本主义是（         ）,银行垄断资本和工业垄断资本融合或混合生长的资本,国家政权和私人垄断资本相结合的垄断资本,资本主义基本矛盾发展的产物,社会主义最完备的物质准备,BCD,,全对得分
金融资本（         ）,是垄断资本主义阶段居统治地位的资本,是在垄断基础上由银行垄断资本和工业垄断资本融合或混合生长而形成的新型资本,是自由竞争资本主义阶段所产生的资本,主要是通过“参与制”在政治领域里进行统治的资本,AB,,全对得分
与第二次世界大战之前的资本主义相比，当代资本主义生产关系中的社会阶层、阶级机构发生了许多新的变化。主要表现在（         ）,知识型和服务型劳动者数量随科技革命不断深入而持续地增加,资本家由从前的直接生产经营者变成了以剪息票为生的食利者,职工持股和参与决策使得劳动者成为资本家集团的重要力量,高级职业经理成为资本主义社会大公司经营活动的实际控制者,ABCD,,全对得分
空想社会主义与科学社会主义的根本区别在于（       ）,历史观不同,对资本主义制度的态度不同,实现理想的途径不同,依靠的社会力量不同,ACD,,全对得分
十月革命后列宁指出：“对俄国来说，根据书本争论社会主义纲领的时代已经过去了，我深信已经一去不复返了。今天只能根据经验来谈社会主义”。对这句话的正确理解是（       ）,在社会主义建设中经验比理论更重要,在社会主义建设过程中对纲领的讨论是无足轻重的,应该在实践中不断丰富发展社会主义理论,必须由实践来检验社会主义理论,CD,,全对得分
批判的空想社会主义在理论上的局限性在于（       ）,未能揭示资本主义必然灭亡的经济根源,看不到埋葬资本主义的力量,找不到通往理想社会的现实道路,不是科学的思想体系,ABCD,,全对得分
列宁关于社会主义理论的主要贡献包括（       ）,把社会主义建设作为一个长期探索、不断实践的过程,把大力发展生产力、提高劳动生产率放在首位,在过渡时期不能人为取消商品经济，而要利用商品货币关系发展经济,社会主义革命后可以利用资本主义的某些方法建设社会主义,ABCD,,全对得分
下列对空想社会主义的认识正确的是（       ）,它是一种批判、否定资本主义的思潮,它反映了早期无产阶级迫切要求改造现存社会、建立理想的新社会的愿望,它是早期无产阶级意识和利益的先声,就理论体系而言，它属于资产阶级的理论,ABC,,全对得分
在整个社会主义历史时期无产阶级专政的任务是（       ）,镇压一切反社会主义敌对势力的反抗与破坏，防止外敌侵略和颠覆,保护广大人民群众的合法权益,巩固作为社会主义经济制度基础的公有制，领导与组织社会主义建设,维护社会主义法制社会,ABCD,,全对得分
列宁在“政治遗嘱”中，提出了一系列关于社会主义的新构想，如（       ）,学习和利用资本主义一切有价值的东西,发展大工业，实现工业化和电气化,用合作社形式将农民引向社会主义道路,进行文化革命，大力发展文化教育事业,ABCD,,全对得分
空想社会主义理论的合理性表现在（       ）,它深刻揭露了资本主义的罪恶,它认为资本主义必须要被一种更好的制度取代,它揭示了资本主义必然灭亡的经济根源,它认为无产阶级是埋葬资本主义的革命力量,AB,,全对得分
一下陈述，属于资本主义国家对社会主义国家进行“和平演变”战略内容的有（       ）,通过强硬的军事、政治压力和有限制的经济、科技的合作，迫使社会主义国家屈从其经济政治发展战略的要求，并达到促使社会主义国家改变制度的目的,通过强大的文化机器和文化产品进行文化渗透，在社会主义国家内部制造经济、政治、思想等种种混乱,支持和操纵社会主义国家内部的反对力量,进行赤裸裸的军事侵略,ABC,,全对得分
马克思对阶级斗争学说的新贡献是（       ）,发现了社会上的阶级斗争，提出了阶级斗争学说,提出了人类社会史就是阶级斗争史的学说,发现阶级和阶级斗争的存在只同生产发展的一定历史阶段相联系,阶级斗争必然导致无产阶级专政,CD,,全对得分
社会主义实现模式多样化的原因在于（       ）,政治经济文化水平的发展不同,历史传统不同,指导思想不同,地域环境不同,ABD,,全对得分
在实现社会主义的自我发展与完善中要（       ）,以与时俱进的马克思主义理论为指导，坚持正确的改革方向,选择正确的改革方式与步骤，因地制宜，循序渐进,完全按照发达国家模式发展,妥善处理改革、发展与稳定的关系,ABD,,全对得分
对无产阶级专政和社会主义民主认识正确的是（       ）,无产阶级专政和社会主义民主是科学社会主义的核心内容,坚持无产阶级专政是建立和发展社会主义的政治保证,建设高度的社会主义民主，是工人阶级执政党为之奋斗的崇高目标和根本任务,无产阶级专政思想的诞生，是马克思主义科学思想体系形成的重要标志之一,ABCD,,全对得分
无产阶级专政的特征有（       ）,无产阶级专政是人类社会最后也是最进步的新型国家政权,无产阶级专政是工人阶级通过共产党领导的国家政权,无产阶级专政是以工农联盟为阶级基础的国家政权,无产阶级专政最终的目标是建立无阶级的社会,ABCD,,全对得分
空想社会主义的发展经历了哪些阶段（       ）,16—17世纪早期空想社会主义,18世纪的空想平均共产主义,19世纪初批判的空想社会主义,不成熟、不科学的空想社会主义,ABC,,全对得分
东欧剧变、苏联解体，最深刻的教训是（       ）,放弃了社会主义道路,放弃了无产阶级专政,放弃了共产党的领导地位,放弃了马克思列宁主义,ABCD,,全对得分
马克思主义政党的领导核心作用主要体现在（       ）,社会主义革命中,社会主义建设事业中,社会主义改革事业中,自发的群众运动中,ABC,,全对得分
社会主义发展道路多样性的原因有（       ）,各国生产力状况各不相同,各国历史传统各不相同,各国工业化程度各不相同,各国文化习俗各不相同,ABCD,,全对得分
坚持走中国特色社会主义道路的正确做法是（         ）,坚持解放思想、实事求是、与时俱进、求真务实，用于推进理论和实践创新,坚持以人为本，尊重人民主体地位，发挥群众首创精神，紧紧依靠人民推动改革,坚持正确处理改革发展稳定关系，胆子要大，步子要稳,坚持顶层设计和摸着石头过河相结合，整体推进和重点突破相促进，提高改革决策科学性，广泛凝聚共识，形成改革合力,ABCD,,全对得分
经济文化相对落后的国家建设社会主义之所以是长期的和艰巨的，是因为（       ）,商品经济不发达，生产力落后,封建主义传统长，缺乏近代民主的传统,社会主义国家从诞生之日起，就处在资本主义世界的包围之中，受到资本主义列强的遏制和扼杀,马克思主义执政党对社会主义发展道路和建设规律的探索是一个过程,ABCD,,全对得分
社会主义在曲折中发展是由以下哪些因素决定的（        ）,社会主义是新生事物，其成长不会一帆风顺的,社会主义社会的基本矛盾推动社会发展，是作为一个过程而展开的，人们对它的认识也有一个逐渐发展的过程,经济全球化对于社会主义的发展既是机遇又是挑战,社会主义本身难以解决的内在矛盾导致的,ABC,,全对得分
努力探索适合本国国情的社会主义发展道路，必须做到（        ）,必须坚持对待马克思主义的科学态度,必须从当时当地的历史条件出发，坚持“走自己的路”,必须充分吸收人类一切文明成果,照搬西方发达国家资本主义建设的模式,ABC,,全对得分
科学社会主义诞生的重大意义是（       ）,敲响了资本主义的丧钟,使工人阶级拥有了反对资产阶级的强大思想武器,指引一些国家的工人阶级进行革命，在本国建立了社会主义制度,资本主义在全世界的消亡成为现实,ABC,,全对得分
十月社会主义革命划时代的意义是（       ）,第一次把马克思主义关于无产阶级革命的理论变成了现实,冲破了世界帝国主义阵营，沉重打击了帝国主义资产阶级的统治,动摇了帝国主义殖民统治，推动了殖民地、半殖民地人民的解放斗争,促进了马克思列宁主义的传播，开创了世界社会主义运动发展的新局面,ABCD,,全对得分
社会主义作为人类社会历史发展中的崭新形态，其产生和发展（       ）,符合历史发展趋势,代表社会进步方向,体现着人类的未来,具有强大生命力,ABCD,,全对得分
社会主义的发展具有曲折性，但是，社会主义在曲折中持续前进，则是任何力量都不能扭转的历史趋势。这是因为（       ）,社会主义制度能够从根本上克服生产资料的资本主义私有制对生产力发展的束缚，为生产力的发展提供广阔的前景,社会主义的上层建筑完全适应经济基础的发展,社会主义符合广大人民的利益和愿望，能够得到人民的拥护和支持,社会主义能够在改革中不断实现自我发展和自我完善,ACD,,全对得分
《共产党宣言》提出，无产阶级取得政治统治以后的任务是（       ）,用革命的暴力镇压资产阶级的反抗,一步步地夺取资产阶级的全部资本，彻底消灭私有制,把全部生产资料集中在国家手中，使国家有计划地组织生产,大力发展生产力，尽快增加生产力的总量,ABCD,,全对得分
列宁认为社会主义可能首先在帝国主义链条中的薄弱环节突破。这里“薄弱环节”的含义包括（       ）,资本主义有一定程度的发展,各种社会矛盾极其尖锐,无产阶级的组织程度和觉悟程度比较高,资产阶级统治比较薄弱,ABCD,,全对得分
下列属于空想平均社会主义代表人物的是（       ）,摩莱里,康帕内拉,托马斯·闵采尔,马布利,AD,,全对得分
科学社会主义创立的两大理论基石是（       ）,劳动价值论,剩余价值论,唯物史观,暴力革命论,BC,,全对得分
无产阶级政党选择革命形式和道路应该遵循的基本原则是（       ）,暴力革命是无产阶级革命的唯一形式原则,马克思主义普遍真理与本国具体实践相结合的原则,由各国共产党自己决定、反对国际组织发号施令的原则,在任何情况下都要争取和平发展原则,BC,,全对得分
空想社会主义的理论之所以是空想，其主要原因在于（       ）,不成熟的资本主义生产状况,不成熟的阶级状况,空想社会主义者知识不够渊博,空想社会主义者的立场是资产阶级的,AB,,全对得分
’1921年3月，俄共（布）召开十大，决定从战时共产主义政策转变为实行新经济政策，下列属于新经济政策内容的有（       ）,用粮食税代替余粮收集制,允许私人自由贸易,恢复商品贸易关系，允许私人小工业企业发展,采取一些国家资本主义的形式来发展生产,ABCD,,全对得分
无产阶级革命是不同于以往一切革命的最新类型的革命，主要表现在（       ）,无产阶级革命是要消灭私有制、建立公有制的社会革命,无产阶级革命是最终要彻底消灭一切阶级剥削和阶级统治的革命,无产阶级革命是为绝大多数人谋利益的运动,无产阶级革命是不断前进的历史进程,ABCD,,全对得分
1871年3月18日，巴黎人民起义取得胜利，成立了巴黎公社。为防止国家机关工作人员由社会公仆变为社会主人，公社采取了一些措施，主要有（       ）,规定所有公职人员无论职位高低，实行全面的选举制和撤换制,取消高薪制，规定任何工作人员年薪不得超过熟练工人的工薪水平,按劳分配,实行政教分离和男女平等,AB,,全对得分
马克思主义关于无产阶级革命形式的基本观点（       ）,暴力革命是无产阶级革命的唯一形式,暴力革命是主要的基本形式,在任何情况下都要争取革命的和平发展,无产阶级革命有暴力和和平两种形式,BCD,,全对得分
十月革命的胜利，说明（       ）,暴力革命的伟大历史作用,证实了列宁关于社会主义革命有可能在一国或几个国家首先取得胜利的科学论断,经济文化相对落后的国家也可以率先建立起先进的社会制度,自由资本主义已经发展到了垄断资本主义,ABCD,,全对得分
“由于历史进程的曲折而不得不开始社会主义革命的那个国家愈落后，它由旧的资本主义关系过渡到社会主义关系就愈困难。”这段话可以理解为（       ）,越是落后的国家越容易首先取得社会主义革命的胜利,社会主义可能在比较落后的国家取得胜利,社会主义革命客观条件成熟的程度对向社会主义过渡有重大的影响,社会主义在比较落后的国家的胜利必然带来一系列新课题,BCD,,全对得分
社会主义由理论变为现实，由一国发展到多国，是人类历史上的巨大飞跃。20世纪的社会主义制度对人类社会的发展作出了巨大的历史贡献。主要有（       ）,社会主义开始作为一种新的社会制度发挥出历史作用，显示出强大的生命力,社会主义国家的存在及其在各方面的影响，改变了世界的政治格局,社会主义力量坚定地支持被压迫民族和被压迫人民，推动着世界和平与发展的时代潮流,社会主义在当代引导着世界人民的前进方向,ABCD,,全对得分
列宁指出：“社会主义和共产主义之间的科学区别，只在于第一个词是指从资本主义生长起来的新社会的第一阶段，第二个词是指它的下一个阶段，更高的阶段。”对此理解正确的是（       ）,社会主义和共产主义总体上属于同一个类型的社会形态,社会主义和共产主义在发展程度和成熟程度上存在重大区别,社会主义是共产主义的低级阶段,社会主义是实现共产主义的必由之路,ABCD,,全对得分
正确进行社会主义改革，必须（       ）,坚持正确的理论指导,坚持改革的正确方向,选择正确的改革方式和步骤,妥善处理改革、发展与稳定的关系,ABCD,,全对得分
下列属于列宁晚年“政治遗嘱”的口授文章是（       ）,《日记摘录》,《怎样改组工农检查院》,《宁肯少些，但要好些》,《无产阶级革命的军事纲领》,ABC,,全对得分
列宁的“一国或数国首先胜利”的理论内容是指（       ）,社会主义将在经济文化比较落后的国家首先取得胜利,社会主义将首先在一个或几个国家取得胜利，而其余的国家在一段时间内将仍然是资产阶级或资产阶级以前的国家,社会主义将在资本主义统治的薄弱环节首先取得胜利,帝国主义时代的无产阶级社会主义革命，将是一国或数国首先取得胜利，然后波浪式地发展为全世界的胜利,ABCD,,全对得分
"列宁指出：""一切民族都将走向社会主义，这是不可避免的，但是一切民族的走法却不会完全一样，在民主的这种或那种形式上，在无产阶级专政的这种或那种形态上，在社会生活各方面的社会主义改造的速度上，每个民族都会有自己的特点。""这一论述从历史唯物主义的高度揭示了各民族发展道路的多样性的内涵。下列关于社会主义发展道路多样性特点的正确观点有（       ）",时代和实践的不断发展是造成社会主义发展道路多样化的现实原因,历史文化传统的差异性是造成不同国家社会主义发展道路多样性的重要条件,各国民族因素和地理环境的不同是造成社会主义发展道路多样性的决定因素,各国生产力发展状况和社会发展阶段决定了社会主义发展道路具有不同的特点,ABD,,全对得分
马克思、恩格斯对资本主义批判的高明之处在于（       ）,看到资本主义社会的弊端,揭示出弊端的根源,揭示出资本主义发展中自我否定的力量,发现资本主义的矛盾运动中孕育着的新社会因素,ABCD,,全对得分
向共产主义过渡（       ）,必然是一个长期的实践过程,必须经过社会主义的充分发展,要在社会主义历史阶段中逐步创造条件,对经济落后国家需经历更长期的实践过程,ABCD,,全对得分
牢固树立共产主义远大理想，要（       ）,正确认识实现共产主义的客观必然性,积极投身于中国特色社会主义建设事业的实际行动中,以高尚的思想道德要求鞭策自己,从我做起，从现在做起，勤于学习,ABCD,,全对得分
共产主义社会是（       ）,人类难以企及的“乌托邦”,马克思主义最崇高的社会理想,人类历史发展的必然趋势,千百年来国人梦想的“大同社会”,BC,,全对得分
走中国特色社会主义之路，它是（       ）,中华民族为了实现自身的伟大复兴作出的重大抉择,中国社会主义革命和建设事业的经验总结,偏离了马克思主义既定发展轨道的结果,中华民族最终走向共产主义的必由之路和康庄大道,ABD,,全对得分
在共产主义社会，由于阶级消灭、国家消亡和“三大差别”消除，社会关系实现了高度和谐这里的“三大差别”是指（       ）,民族与民族的差别,工业与农业的差别,脑力劳动与体力劳动的差别,城市与乡村的差别,BCD,,全对得分
社会主义之所以在曲折中前进，其主要的决定因素是（       ）,社会主义作为一种崭新的制度，成长过程必然不会一帆风顺,作为发展中国家的社会主义的基本矛盾运动，推动了社会主义的经济社会发展,世界经济政治形势的错综复杂和国际经济政治秩序的变动演化,社会主义国家难以避免党政官员的腐败,ABC,,全对得分
马克思把共产主义社会划分为（       ），列宁分别把这两个阶段称为社会主义社会和共产主义社会,第一阶段,第二阶段,初级阶段,高级阶段,AD,,全对得分
实现人的自由而全面发展的必要条件有（       ）,完全摆脱生产资料私有制和阶级压迫的束缚,完全摆脱旧式分工的束缚,完全摆脱仅仅作为谋生手段的劳动的束缚,完全摆脱接受教育和训练的限制,ABCD,,全对得分
在整个社会主义历史时期无产阶级专政的任务是（       ）,镇压一切反社会主义敌对势力的反抗与破坏，防止外敌侵略和颠覆,保护广大人民群众的合法权益,巩固作为社会主义经济制度基础的公有制，领导与组织社会主义建设,维护社会主义法制社会,ABCD,,全对得分
共产主义社会的基本特征包括（       ）,物质财富极大丰富，消费资料按需分配,物质财富极大丰富，消费资料按劳分配,社会关系高度和谐，人们的精神境界极大提高,每个人自由而全面的发展，人类从必然王国向自由王国的飞跃,ACD,,全对得分
从我做起，从现在做起，（       ），善于创造，甘于奉献，努力做社会主义核心价值观的积极践行者,勤学,修德,明辨,笃实,ABCD,,全对得分
社会主义社会与共产主义社会之间的重大差别有（       ）,生产力发展水平不同,公有制形式不同,分配原则不同,人们的思想道德水平不同,ABCD,,全对得分
人的全面发展是指（       ）,德、智、体、美、劳各方面都得到发展,人的需要的全面丰富和充分满足,个人潜力和智能得到最大限度的发挥,人的各种要求都能得到满足,ABC,,全对得分
下列对“两个必然”（或“两个不可避免”）和“两个决不会”理解正确的是（       ）,两者是对资本主义灭亡和共产主义胜利必然性以及这种必然性实现的时间和条件的全面论述,“两个必然”讲的是资本主义灭亡和共产主义胜利的客观必然性，是根本的方面,“两个决不会”讲的是这种必然性实现的时间和条件,说明“两个必然”的实现需要相应的客观条件，而在这个条件具备之前决不会成为现实,ABCD,,全对得分
马克思主义经典作家站在科学的立场上，提出并自觉运用了预见未来社会的方法论原则这些科学的方法论原则有（       ）,在揭示人类社会发展一般规律的基础上指明社会发展的方向,在剖析资本主义旧世界的过程中阐发未来新世界的特点,在社会主义社会发展中不断深化对未来共产主义社会的认识,立足于揭示未来社会的一般特征，而不可能对各种细节作具体描绘,ABCD,,全对得分
